TRIREDRAFT_102382	K01069
TRIREDRAFT_102383	K16912
TRIREDRAFT_102401	K02328
TRIREDRAFT_102403	K11501
TRIREDRAFT_102444	K24939
TRIREDRAFT_102458	K10901
TRIREDRAFT_102461	K14635
TRIREDRAFT_102512	K06670
TRIREDRAFT_102554	K12627
TRIREDRAFT_102572	K09579
TRIREDRAFT_102579	K10696
TRIREDRAFT_102581	K10839
TRIREDRAFT_102593	K17427
TRIREDRAFT_102603	K12834
TRIREDRAFT_102612	K19786
TRIREDRAFT_102616	K06665
TRIREDRAFT_102640	K03024
TRIREDRAFT_102659	K07942
TRIREDRAFT_102672	K14409
TRIREDRAFT_102676	K03020
TRIREDRAFT_102694	K11267
TRIREDRAFT_102700	K01880
TRIREDRAFT_102711	K08286
TRIREDRAFT_102723	K18469
TRIREDRAFT_102744	K01657
TRIREDRAFT_102769	K23388
TRIREDRAFT_102813	K04648
TRIREDRAFT_102820	K19791
TRIREDRAFT_102855	K15444
TRIREDRAFT_102863	K27349
TRIREDRAFT_102870	K18730
TRIREDRAFT_102941	K12199
TRIREDRAFT_102966	K09702
TRIREDRAFT_102976	K03009
TRIREDRAFT_102989	K15205
TRIREDRAFT_103012	K19245
TRIREDRAFT_103015	K00354
TRIREDRAFT_103049	K01184
TRIREDRAFT_103113	K17644
TRIREDRAFT_103119	K01273
TRIREDRAFT_103180	K21440
TRIREDRAFT_103209	K15134
TRIREDRAFT_103222	K02980
TRIREDRAFT_103273	K11374
TRIREDRAFT_103291	K12624
TRIREDRAFT_103311	K10752
TRIREDRAFT_103321	K12847
TRIREDRAFT_103322	K03259
TRIREDRAFT_103348	K03679
TRIREDRAFT_103350	K17413
TRIREDRAFT_103356	K27690
TRIREDRAFT_103372	K09051
TRIREDRAFT_103376	K11095
TRIREDRAFT_103451	K01900
TRIREDRAFT_103470	K11699
TRIREDRAFT_103506	K14569
TRIREDRAFT_103517	K18551
TRIREDRAFT_103563	K14654
TRIREDRAFT_103594	K23801
TRIREDRAFT_103599	K14785
TRIREDRAFT_103625	K11599
TRIREDRAFT_103669	K13535
TRIREDRAFT_103703	K13345
