transcriptId	proteinId	kogid	kogdefline	kogClass	kogGroup
80654	80654	KOG1192	UDP-glucuronosyl and UDP-glucosyl transferase	Energy production and conversion 	METABOLISM
80654	80654	KOG1192	UDP-glucuronosyl and UDP-glucosyl transferase	Carbohydrate transport and metabolism 	METABOLISM
122879	122879	KOG2588	Predicted DNA-binding protein	Transcription 	INFORMATION STORAGE AND PROCESSING
59796	59796	KOG2816	Predicted transporter ADD1 (major facilitator superfamily)	General function prediction only 	POORLY CHARACTERIZED
38812	38812	KOG2601	Iron transporter	Inorganic ion transport and metabolism 	METABOLISM
120195	120195	KOG2586	Pyridoxamine-phosphate oxidase	Coenzyme transport and metabolism 	METABOLISM
102554	102554	KOG1784	Small Nuclear ribonucleoprotein splicing factor	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING
80659	80659	KOG1238	Glucose dehydrogenase/choline dehydrogenase/mandelonitrile lyase (GMC oxidoreductase family)	General function prediction only 	POORLY CHARACTERIZED
60331	60331	KOG0394	Ras-related GTPase	General function prediction only 	POORLY CHARACTERIZED
102555	102555	KOG2938	Predicted inosine-uridine preferring nucleoside hydrolase	Nucleotide transport and metabolism 	METABOLISM
120198	120198	KOG2099	Glycogen phosphorylase	Carbohydrate transport and metabolism 	METABOLISM
74099	74099	KOG2894	Uncharacterized conserved protein XAP-5	Function unknown 	POORLY CHARACTERIZED
102559	102559	KOG2980	Integral membrane protease of the rhomboid family involved in different forms of regulated intramembrane proteolysis	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
63678	63678	KOG2402	Paf1/RNA polymerase II complex, RTF1 component (involved in regulation of TATA box-binding protein)	Transcription 	INFORMATION STORAGE AND PROCESSING
36134	36134	KOG1243	Protein kinase	General function prediction only 	POORLY CHARACTERIZED
60338	60338	KOG2915	tRNA(1-methyladenosine) methyltransferase, subunit GCD14	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
79324	79324	KOG1502	Flavonol reductase/cinnamoyl-CoA reductase	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
79329	79329	KOG2615	Permease of the major facilitator superfamily	General function prediction only 	POORLY CHARACTERIZED
30250	30250	KOG1950	Glycosyl transferase, family 8 - glycogenin	Carbohydrate transport and metabolism 	METABOLISM
23034	23034	KOG1566	Conserved protein Mo25	Function unknown 	POORLY CHARACTERIZED
59002	59002	KOG1205	Predicted dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
69563	69563	KOG2533	Permease of the major facilitator superfamily	Carbohydrate transport and metabolism 	METABOLISM
2050	2050	KOG0401	Translation initiation factor 4F, ribosome/mRNA-bridging subunit (eIF-4G)	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
68909	68909	KOG1768	40s ribosomal protein S26	Translation, ribosomal structure and biogenesis 	INFORMATION STORAGE AND PROCESSING
66222	66222	KOG2798	Putative trehalase	Carbohydrate transport and metabolism 	METABOLISM
122882	122882	KOG2936	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED
76784	76784	KOG0024	Sorbitol dehydrogenase	Secondary metabolites biosynthesis, transport and catabolism 	METABOLISM
122886	122886	KOG1375	Beta tubulin	Cytoskeleton 	CELLULAR PROCESSES AND SIGNALING
55803	55803	KOG2268	Serine/threonine protein kinase	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING
55803	55803	KOG2268	Serine/threonine protein kinase	General function prediction only 	POORLY CHARACTERIZED
122889	122889	KOG1216	von Willebrand factor and related coagulation proteins	Defense mechanisms 	CELLULAR PROCESSES AND SIGNALING
122889	122889	KOG1216	von Willebrand factor and related coagulation proteins	Extracellular structures 	CELLULAR PROCESSES AND SIGNALING
70108	70108	KOG0255	Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)	General function prediction only 	POORLY CHARACTERIZED
80668	80668	KOG1721	FOG: Zn-finger	General function prediction only 	POORLY CHARACTERIZED
