tre:TRIREDRAFT_102382	ko:K01069
tre:TRIREDRAFT_102383	ko:K16912
tre:TRIREDRAFT_102401	ko:K02328
tre:TRIREDRAFT_102403	ko:K11501
tre:TRIREDRAFT_102416	ko:K28079
tre:TRIREDRAFT_102444	ko:K24939
tre:TRIREDRAFT_102458	ko:K10901
tre:TRIREDRAFT_102461	ko:K14635
tre:TRIREDRAFT_102512	ko:K06670
tre:TRIREDRAFT_102554	ko:K12627
tre:TRIREDRAFT_102572	ko:K09579
tre:TRIREDRAFT_102579	ko:K10696
tre:TRIREDRAFT_102581	ko:K10839
tre:TRIREDRAFT_102593	ko:K17427
tre:TRIREDRAFT_102603	ko:K12834
tre:TRIREDRAFT_102612	ko:K19786
tre:TRIREDRAFT_102616	ko:K06665
tre:TRIREDRAFT_102640	ko:K03024
tre:TRIREDRAFT_102659	ko:K07942
tre:TRIREDRAFT_102672	ko:K14409
tre:TRIREDRAFT_102676	ko:K03020
tre:TRIREDRAFT_102694	ko:K11267
tre:TRIREDRAFT_102700	ko:K01880
tre:TRIREDRAFT_102711	ko:K08286
tre:TRIREDRAFT_102723	ko:K18469
tre:TRIREDRAFT_102744	ko:K01657
tre:TRIREDRAFT_102769	ko:K23388
tre:TRIREDRAFT_102813	ko:K04648
tre:TRIREDRAFT_102820	ko:K19791
tre:TRIREDRAFT_102855	ko:K15444
tre:TRIREDRAFT_102863	ko:K27349
tre:TRIREDRAFT_102870	ko:K18730
tre:TRIREDRAFT_102941	ko:K12199
tre:TRIREDRAFT_102966	ko:K09702
tre:TRIREDRAFT_102976	ko:K03009
tre:TRIREDRAFT_102989	ko:K15205
tre:TRIREDRAFT_103012	ko:K19245
tre:TRIREDRAFT_103015	ko:K00354
tre:TRIREDRAFT_103049	ko:K01184
tre:TRIREDRAFT_103113	ko:K17644
tre:TRIREDRAFT_103119	ko:K01273
tre:TRIREDRAFT_103180	ko:K21440
tre:TRIREDRAFT_103209	ko:K15134
tre:TRIREDRAFT_103222	ko:K02980
tre:TRIREDRAFT_103273	ko:K11374
tre:TRIREDRAFT_103291	ko:K12624
tre:TRIREDRAFT_103311	ko:K10752
tre:TRIREDRAFT_103321	ko:K12847
tre:TRIREDRAFT_103322	ko:K03259
tre:TRIREDRAFT_103348	ko:K03679
tre:TRIREDRAFT_103350	ko:K17413
tre:TRIREDRAFT_103356	ko:K27690
tre:TRIREDRAFT_103372	ko:K09051
tre:TRIREDRAFT_103376	ko:K11095
tre:TRIREDRAFT_103451	ko:K01900
tre:TRIREDRAFT_103470	ko:K11699
tre:TRIREDRAFT_103506	ko:K14569
tre:TRIREDRAFT_103517	ko:K18551
tre:TRIREDRAFT_103563	ko:K14654
tre:TRIREDRAFT_103594	ko:K23801
tre:TRIREDRAFT_103599	ko:K14785
tre:TRIREDRAFT_103625	ko:K11599
tre:TRIREDRAFT_103669	ko:K13535
tre:TRIREDRAFT_103703	ko:K13345
tre:TRIREDRAFT_103712	ko:K14688
tre:TRIREDRAFT_103745	ko:K16578
tre:TRIREDRAFT_103756	ko:K08675
tre:TRIREDRAFT_103761	ko:K24927
tre:TRIREDRAFT_103850	ko:K03842
tre:TRIREDRAFT_103853	ko:K15109
tre:TRIREDRAFT_103865	ko:K18174
tre:TRIREDRAFT_103937	ko:K11497
tre:TRIREDRAFT_103951	ko:K06997
tre:TRIREDRAFT_103960	ko:K11206
tre:TRIREDRAFT_103993	ko:K18327
tre:TRIREDRAFT_103995	ko:K09704
tre:TRIREDRAFT_104000	ko:K10627
tre:TRIREDRAFT_104004	ko:K03138
tre:TRIREDRAFT_104015	ko:K03016
tre:TRIREDRAFT_104016	ko:K11375
tre:TRIREDRAFT_104077	ko:K19564
tre:TRIREDRAFT_104106	ko:K05863
tre:TRIREDRAFT_104121	ko:K03845
tre:TRIREDRAFT_104132	ko:K14721
tre:TRIREDRAFT_104135	ko:K03671
tre:TRIREDRAFT_104140	ko:K23146
tre:TRIREDRAFT_104152	ko:K02143
tre:TRIREDRAFT_104156	ko:K11271
tre:TRIREDRAFT_104159	ko:K13728
tre:TRIREDRAFT_104161	ko:K20224
tre:TRIREDRAFT_104211	ko:K09568
tre:TRIREDRAFT_104230	ko:K21989
tre:TRIREDRAFT_104288	ko:K06910
tre:TRIREDRAFT_104318	ko:K01673
tre:TRIREDRAFT_104322	ko:K08192
tre:TRIREDRAFT_104364	ko:K04409
tre:TRIREDRAFT_104390	ko:K00799
tre:TRIREDRAFT_104400	ko:K13617
tre:TRIREDRAFT_104438	ko:K00102
tre:TRIREDRAFT_104451	ko:K11369
tre:TRIREDRAFT_104474	ko:K11498
tre:TRIREDRAFT_104490	ko:K08495
tre:TRIREDRAFT_104491	ko:K02918
tre:TRIREDRAFT_104495	ko:K12811
tre:TRIREDRAFT_104535	ko:K11135
tre:TRIREDRAFT_104541	ko:K11344
tre:TRIREDRAFT_104547	ko:K12590
tre:TRIREDRAFT_104595	ko:K12845
tre:TRIREDRAFT_104599	ko:K18102
tre:TRIREDRAFT_104601	ko:K20100
tre:TRIREDRAFT_104606	ko:K11173
tre:TRIREDRAFT_104609	ko:K06127
tre:TRIREDRAFT_104639	ko:K20361
tre:TRIREDRAFT_104659	ko:K18803
tre:TRIREDRAFT_104664	ko:K01238
tre:TRIREDRAFT_104683	ko:K02603
tre:TRIREDRAFT_104704	ko:K02886
tre:TRIREDRAFT_104707	ko:K12880
tre:TRIREDRAFT_104744	ko:K18183
tre:TRIREDRAFT_104790	ko:K10389
tre:TRIREDRAFT_104797	ko:K05349
tre:TRIREDRAFT_104803	ko:K13566
tre:TRIREDRAFT_104842	ko:K07127
tre:TRIREDRAFT_104879	ko:K22644
tre:TRIREDRAFT_104890	ko:K01101
tre:TRIREDRAFT_104942	ko:K10768
tre:TRIREDRAFT_104958	ko:K15565
tre:TRIREDRAFT_104972	ko:K21456
tre:TRIREDRAFT_105011	ko:K01814
tre:TRIREDRAFT_105019	ko:K09537
tre:TRIREDRAFT_105035	ko:K10258
tre:TRIREDRAFT_105055	ko:K10703
tre:TRIREDRAFT_105081	ko:K23905
tre:TRIREDRAFT_105189	ko:K02739
tre:TRIREDRAFT_105190	ko:K18715
tre:TRIREDRAFT_105191	ko:K03027
tre:TRIREDRAFT_105192	ko:K10686
tre:TRIREDRAFT_105202	ko:K05758
tre:TRIREDRAFT_105238	ko:K06912
tre:TRIREDRAFT_105279	ko:K05994
tre:TRIREDRAFT_105282	ko:K15303
tre:TRIREDRAFT_105307	ko:K02990
tre:TRIREDRAFT_105351	ko:K10599
tre:TRIREDRAFT_105409	ko:K19841
tre:TRIREDRAFT_105447	ko:K01673
tre:TRIREDRAFT_105479	ko:K02871
tre:TRIREDRAFT_105504	ko:K01077
tre:TRIREDRAFT_105518	ko:K05389
